game_nr,object,fixed indices,context condition,message
66318,[9. 5. 8.],[0. 1. 0.],0,"[37, 8, 22, 0]"
42321,[15.  5.  8.],[0. 1. 0.],0,"[37, 22, 8, 0]"
25404,[15.  5. 14.],[0. 1. 0.],0,"[37, 22, 8, 0]"
24143,[ 2.  5. 14.],[0. 1. 0.],0,"[37, 22, 8, 0]"
40097,[ 4.  5. 12.],[0. 1. 0.],0,"[37, 22, 8, 0]"
132,[12.  5.  0.],[0. 1. 0.],0,"[37, 22, 8, 0]"
63639,[9. 5. 0.],[0. 1. 0.],0,"[37, 22, 8, 0]"
7814,[12.  5. 15.],[0. 1. 0.],0,"[46, 22, 8, 0]"
7814,[11.  5.  5.],[0. 1. 0.],0,"[46, 22, 8, 0]"
63639,[2. 5. 5.],[0. 1. 0.],0,"[37, 22, 8, 0]"
132,[14.  5.  1.],[0. 1. 0.],0,"[37, 22, 8, 0]"
63639,[12.  5. 15.],[0. 1. 0.],0,"[37, 22, 8, 0]"
25404,[ 4.  5. 15.],[0. 1. 0.],0,"[37, 22, 8, 0]"
132,[4. 5. 2.],[0. 1. 0.],0,"[37, 22, 8, 0]"
25404,[14.  5. 15.],[0. 1. 0.],0,"[37, 22, 8, 0]"
7814,[11.  5.  2.],[0. 1. 0.],0,"[46, 22, 8, 0]"
24143,[1. 5. 9.],[0. 1. 0.],0,"[37, 22, 8, 0]"
6806,[ 4.  5. 10.],[0. 1. 0.],0,"[37, 8, 22, 0]"
40097,[4. 5. 2.],[0. 1. 0.],0,"[37, 22, 8, 0]"
6806,[10.  5.  1.],[0. 1. 0.],0,"[37, 8, 22, 0]"
